Question ,Answer
?? ?? ?????? ???? ???? ?? ??????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ?????? ??????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ????? ?? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?????? ???? ????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?????? ???? ???? ??? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
??? ?? ???? ??????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ???? ???? ???????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ???? ??? ???? ????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
????? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ???? ??????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
????? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ???? ??????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ?? ?????? ?????? ??,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
????? ????? ???????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ?? ????????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ?? ??????? ?? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
??? ???? ??? ????? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?????? ??? ?? ????? ????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
??? ????? ????????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ?? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ?????? ???? ????? ??????? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
??? ????? ?????????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ?? ???????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ????? ?? ???? ?? ?? ?? ?????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ????? ?? ???? ?????????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ????? ????????,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ????? ?? ?????? ???,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ????? ?? ???? ???,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
???? ???? ???? ??,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
?? ???? ?????? ?????? ?? ?,"???? ?? ?????? ?????????? ??? ????? ????????? ??? ????? ???????? ?????? ???????? ?????? ??????? ?????????? ??????? ??????? ???????. ??? ??? ??????? ?????????? ?? ?????? ???? ????? ???????? ??????? ??? ???????? ??????? ??? ????? ??? ?????????? ??????? ??????????."
